Zeit (in s); x (in cm) ; y (in cm); vx (in cm/s) ; vy (in cm/s)
0,000E0; 4,456E0; -9,009E-2; ; 
3,167E-2; 4,028E0; -8,976E-2; -1,350E1; 1,029E-2
6,500E-2; 3,603E0; -1,043E-1; -1,275E1; -4,356E-1
9,833E-2; 3,178E0; -1,021E-1; -1,275E1; 6,600E-2
1,317E-1; 2,753E0; -9,806E-2; -1,275E1; 1,209E-1
1,650E-1; 2,300E0; -9,284E-2; -1,358E1; 1,564E-1
1,983E-1; 1,800E0; -1,020E-1; -1,502E1; -2,737E-1
2,317E-1; 1,130E0; -1,018E-1; -2,008E1; 5,950E-3
2,650E-1; 4,134E-1; -1,058E-1; -2,150E1; -1,207E-1
2,983E-1; -3,011E-1; -1,141E-1; -2,144E1; -2,494E-1
3,317E-1; -9,992E-1; -1,058E-1; -2,094E1; 2,498E-1
3,650E-1; -1,609E0; -1,054E-1; -1,829E1; 1,098E-2
3,983E-1; -2,061E0; -1,043E-1; -1,356E1; 3,189E-2
4,317E-1; -2,408E0; -1,100E-1; -1,043E1; -1,702E-1
4,650E-1; -2,710E0; -1,041E-1; -9,035E0; 1,770E-1
4,983E-1; -3,019E0; -1,007E-1; -9,277E0; 1,031E-1
5,317E-1; -3,270E0; -9,498E-2; -7,537E0; 1,710E-1
5,650E-1; -3,529E0; -8,242E-2; -7,754E0; 3,771E-1
5,983E-1; -3,768E0; -1,050E-1; -7,190E0; -6,786E-1
6,317E-1; -4,019E0; -9,620E-2; -7,521E0; 2,650E-1
6,650E-1; -4,256E0; -1,005E-1; -7,119E0; -1,294E-1
6,983E-1; -4,486E0; -9,023E-2; -6,905E0; 3,086E-1
7,317E-1; -4,711E0; -8,762E-2; -6,729E0; 7,831E-2
7,650E-1; -4,925E0; -9,674E-2; -6,422E0; -2,734E-1
7,983E-1; -5,120E0; -9,654E-2; -5,866E0; 5,769E-3
8,317E-1; -5,294E0; -9,432E-2; -5,200E0; 6,682E-2
8,650E-1; -5,440E0; -9,415E-2; -4,378E0; 5,042E-3
8,983E-1; -5,572E0; -1,053E-1; -3,987E0; -3,336E-1
9,317E-1; -5,643E0; -1,074E-1; -2,122E0; -6,384E-2
9,650E-1; -5,681E0; -1,055E-1; -1,137E0; 5,801E-2
9,983E-1; -5,657E0; -9,852E-2; 7,119E-1; 2,081E-1
1,032E0; -5,591E0; -9,735E-2; 1,981E0; 3,529E-2
1,065E0; -5,480E0; -9,771E-2; 3,329E0; -1,097E-2
1,098E0; -5,342E0; -9,104E-2; 4,155E0; 2,003E-1
1,132E0; -5,170E0; -9,166E-2; 5,169E0; -1,860E-2
1,167E0; -4,984E0; -9,469E-2; 5,297E0; -8,673E-2
1,200E0; -4,782E0; -9,898E-2; 6,059E0; -1,286E-1
1,233E0; -4,574E0; -9,799E-2; 6,230E0; 2,947E-2
1,267E0; -4,351E0; -9,513E-2; 6,698E0; 8,608E-2
1,300E0; -4,126E0; -9,587E-2; 6,751E0; -2,233E-2
1,333E0; -3,910E0; -9,475E-2; 6,472E0; 3,371E-2
1,367E0; -3,696E0; -8,678E-2; 6,428E0; 2,390E-1
1,400E0; -3,452E0; -8,684E-2; 7,311E0; -1,944E-3
1,433E0; -3,208E0; -8,742E-2; 7,324E0; -1,714E-2
1,467E0; -2,953E0; -9,121E-2; 7,674E0; -1,137E-1
1,500E0; -2,682E0; -9,712E-2; 8,125E0; -1,774E-1
1,533E0; -2,379E0; -9,755E-2; 9,084E0; -1,304E-2
1,567E0; -2,022E0; -9,676E-2; 1,070E1; 2,390E-2
1,600E0; -1,521E0; -1,046E-1; 1,505E1; -2,348E-1
1,633E0; -8,862E-1; -8,075E-2; 1,903E1; 7,151E-1
1,667E0; -2,407E-1; -8,338E-2; 1,936E1; -7,888E-2
1,700E0; 4,511E-1; -7,940E-2; 2,075E1; 1,193E-1
1,733E0; 1,088E0; -7,798E-2; 1,911E1; 4,267E-2
1,767E0; 1,701E0; -1,096E-1; 1,837E1; -9,492E-1
1,800E0; 2,082E0; -1,036E-1; 1,146E1; 1,797E-1
1,833E0; 2,447E0; -8,586E-2; 1,092E1; 5,330E-1
1,867E0; 2,734E0; -8,568E-2; 8,629E0; 5,590E-3
1,900E0; 2,994E0; -9,371E-2; 7,787E0; -2,409E-1
1,933E0; 3,248E0; -8,687E-2; 7,623E0; 2,052E-1
1,967E0; 3,503E0; -8,148E-2; 7,666E0; 1,618E-1
2,000E0; 3,740E0; -8,575E-2; 7,086E0; -1,283E-1
2,033E0; 3,979E0; -8,606E-2; 7,176E0; -9,296E-3
2,067E0; 4,239E0; -8,653E-2; 7,807E0; -1,403E-2
2,100E0; 4,491E0; -8,670E-2; 7,546E0; -5,222E-3
2,133E0; 4,730E0; -8,422E-2; 7,173E0; 7,443E-2
2,167E0; 4,981E0; -8,561E-2; 7,551E0; -4,163E-2
2,200E0; 5,224E0; -8,678E-2; 7,262E0; -3,493E-2
2,233E0; 5,472E0; -8,852E-2; 7,443E0; -5,227E-2
2,267E0; 5,669E0; -8,067E-2; 5,910E0; 2,354E-1
2,300E0; 5,861E0; -8,739E-2; 5,771E0; -2,015E-1
2,333E0; 5,979E0; -7,284E-2; 3,540E0; 4,364E-1
2,367E0; 6,051E0; -8,567E-2; 2,158E0; -3,848E-1
2,400E0; 6,056E0; -7,402E-2; 1,575E-1; 3,494E-1
